,3.48833,72.863
ANU,17.1367,-61.7927
ANV,62.6467,-160.191
ANX,69.2925,16.1442
AOC,50.9819,12.5064
AOE,39.8099,30.5194
AOG,41.1053,122.854
AOH,40.7069,-84.0267
AOI,43.6163,13.3623
AOJ,40.7347,140.691
AOK,35.4214,27.146
AOL,-29.6894,-57.1521
AOO,40.2964,-78.32
AOP,-2.79613,-76.4666
AOR,6.18967,100.398
AOT,45.7385,7.36872
AOU,14.8147,106.822
APA,39.5701,-104.849
APC,38.2132,-122.281
APF,26.1526,-81.7753
APG,39.4662,-76.1688
API,4.07607,-73.5627
APK,-15.5736,-146.415
APL,-15.1056,39.2818
APN,45.0781,-83.5603
APO,7.81196,-76.7164
APQ,-9.77536,-36.6292
APT,35.0607,-85.5853
APW,-13.83,-172.008
APZ,-38.9755,-70.1136
AQA,-21.812,-48.133
AQB,15.0122,-91.1506
AQG,30.5822,117.05
AQI,28.3352,46.1251
AQJ,29.6116,35.0181
AQP,-16.3411,-71.5831
ARA,30.0378,-91.8839
ARB,42.223,-83.7456
ARC,68.1147,-145.579
ARD,-8.13234,124.597
ARE,18.45,-66.6753
ARH,64.6003,40.7167
ARI,-18.3485,-70.3387
ARK,-3.36779,36.6333
ARM,-30.5281,151.617
ARN,59.6519,17.9186
ARR,-45.0136,-70.8122
ART,43.9919,-76.0217
ARU,-21.1413,-50.4247
ARV,45.9279,-89.7309
ARW,46.1766,21.262
ARY,-37.3094,142.989
ASA,13.0718,42.645
ASB,37.9868,58.361
ASD,24.6979,-77.7956
ASE,39.2232,-106.869
ASF,46.2833,48.0063
ASH,42.7817,-71.5148
ASI,-7.9696,-14.3937
ASJ,28.4306,129.713
ASK,6.90317,-5.36558
ASM,15.2919,38.9107
ASN,33.5699,-86.0509
ASO,10.0185,34.5863
ASP,-23.8067,133.902
ASR,38.7704,35.4954
ASS,-24.7442,31.5225
AST,46.158,-123.879
ASU,-25.24,-57.52
ASV,-2.64505,37.2531
ASW,23.9644,32.82
ATA,-9.34744,-77.5984
ATB,17.7103,34.057
ATC,24.6294,-75.6738
ATD,-8.87333,161.011
ATF,-1.21207,-78.5746
ATG,33.8691,72.4009
ATH,37.9364,23.9445
ATI,-30.4007,-56.5079
ATJ,-19.8392,47.0637
ATK,70.4673,-157.436
ATL,33.6367,-84.4281
ATM,-3.25391,-52.254
ATO,39.211,-82.2314
ATQ,31.7096,74.7973
ATR,20.5068,-13.0432
ATW,44.2581,-88.5191
ATY,44.914,-97.1547
ATZ,27.0465,31.012
AUA,12.5014,-70.0152
AUC,7.06888,-70.7369
AUF,47.8502,3.49711
AUG,44.3206,-69.7973
AUH,24.433,54.6511
AUK,62.68,-164.66
AUO,32.6151,-85.434
AUQ,-9.76879,-139.011
AUR,44.8914,2.42194
AUS,30.1945,-97.6699
AUU,-13.3541,141.721
AUW,44.9262,-89.6266
AUX,-7.22787,-48.2405
AUY,-20.2492,169.771
AVA,26.2606,105.873
AVB,46.0319,12.5965
AVI,22.0271,-78.7896
AVK,46.2503,102.802
AVL,35.4362,-82.5418
AVN,43.9073,4.90183
AVO,27.5912,-81.5278
AVP,41.3385,-75.7234
AVR,38.8833,-9.0301
AVV,-38.0394,144.469
AVW,32.4096,-111.218
AVX,33.4049,-118.416
AWA,7.067,38.5
AWD,-19.2346,169.601
AWK,19.2821,166.636
AWZ,31.3374,48.762
AXA,18.2048,-63.0551
AXD,40.8559,25.9563
AXF,38.7483,105.589
AXJ,32.4825,130.159
AXK,14.5513,46.8262
AXM,4.45278,-75.7664
AXN,45.8663,-95.3947
AXP,22.4418,-73.9709
AXR,-15.2483,-146.617
AXT,39.6156,140.219
AXU,14.1468,38.7728
AYK,50.3186,66.9528
AYO,-27.3706,-56.8541
AYP,-13.1548,-74.2044
AYQ,-25.1861,130.976
AYS,31.2491,-82.3955
AYT,36.8987,30.8005
AYW,-1.1593,132.463
AZA,33.3078,-111.655
AZD,31.9049,54.2765
AZI,24.4283,54.4581
AZN,40.7277,72.294
AZO,42.2349,-85.5521
AZR,27.8376,-0.186414
AZS,19.267,-69.742
BAB,39.1361,-121.437
BAD,32.5018,-93.6627
BAF,42.1578,-72.7156
BAG,16.3751,120.62
BAH,26.2708,50.6336
BAI,9.16395,-83.3302
BAL,37.929,41.1166
BAQ,10.8896,-74.7808
BAR,19.1382,110.455
BAS,-6.99075,155.887
BAT,-20.5845,-48.5941
BAU,-22.345,-49.0538
BAV,40.56,109.997
BAX,53.3638,83.5385
BAY,47.6584,23.47
BAZ,-0.981292,-62.9196
BBA,-45.9161,-71.6895
BBC,28.9733,-95.8635
BBD,31.1793,-99.3239
BBG,3.08583,172.811
BBH,54.3383,12.7105
BBI,20.2444,85.8178
BBJ,49.9453,6.565
BBK,-17.8329,25.1624
BBL,-27.4056,141.809
BBM,13.0956,103.224
BBN,3.73389,115.479
BBO,10.3892,44.9411
BBP,50.6781,-1.10944
BBQ,17.6358,-61.8286
BBR,16.0133,-61.7422
BBS,51.3239,-0.8475
BBT,4.22158,15.7864
BBU,44.5032,26.1021
BBX,40.1375,-75.2651
BCA,20.3653,-74.5062
BCD,10.7764,123.015
BCE,37.7064,-112.145
BCH,-8.48903,126.401
BCI,-23.5653,145.307
BCL,10.7687,-83.5856
BCM,46.5219,26.9103
BCN,41.2971,2.07846
BCO,5.78287,36.562
BCT,26.3785,-80.1077
BCU,10.4828,9.744
BDA,32.364,-64.6787
BDB,-24.9039,152.319
BDD,-10.15,142.173
BDE,48.7284,-94.6122
BDH,26.532,54.8248
BDI,-3.72472,55.2053
BDJ,-3.44236,114.763
BDL,41.9389,-72.6832
BDM,40.318,27.9777
BDN,24.8415,68.8384
BDO,-6.90063,107.576
BDP,26.5708,88.0796
BDQ,22.3362,73.2263
BDR,41.1635,-73.1262
BDS,40.6576,17.947
BDT,4.25321,20.9753
BDU,69.0558,18.5404
BEB,57.4811,-7.36278
BEC,37.6945,-97.215
BED,42.47,-71.289
BEF,11.991,-83.7741
BEG,44.8184,20.3091
BEI,9.38639,34.5219
BEJ,2.1555,117.432
BEK,28.4221,79.4508
BEL,-1.37925,-48.4763
BEM,32.4019,-6.3159
BEN,32.0968,20.2695
BEO,-33.0667,151.648
BEP,15.1628,76.8828
BEQ,52.3426,0.772939
BES,48.4479,-4.41854
BET,60.7798,-161.838
BEU,-24.3461,139.46
BEV,31.287,34.723
BEW,-19.7964,34.9076
BEX,51.6164,-1.09583
BEY,33.8209,35.4884
BEZ,-1.35472,176.007
BFD,41.8031,-78.6401
BFE,51.9647,8.54444
BFF,41.874,-103.596
BFH,-25.4051,-49.232
BFI,47.53,-122.302
BFJ,27.2671,105.472
BFK,39.7017,-104.752
BFL,35.4336,-119.057
BFM,30.6268,-88.0681
BFN,-29.0927,26.3024
BFO,-21.0081,31.5786
BFP,40.7725,-80.3914
BFS,54.6575,-6.21583
BFT,32.4122,-80.6344
BFU,32.8477,117.32
BFV,15.2295,103.253
BFW,35.1718,-0.593275
BFX,5.53692,10.3546
BGA,7.1265,-73.1848
BGAG,72.887,-55.5963
BGAM,65.6123,-37.6183
BGAQ,60.1484,-44.2869
BGAS,60.5974,-45.3824
BGC,41.8578,-6.70713
BGD,35.7009,-101.394
BGE,30.9715,-84.6374
BGF,4.39848,18.5188
BGFD,60.0047,-44.6569
BGG,38.8593,40.596
BGI,13.0746,-59.4925
BGIA,70.4981,-51.3031
BGIN,73.1999,-56.0108
BGIS,65.5478,-38.9766
BGKL,72.1527,-55.531
BGKM,65.8639,-36.9979
BGKQ,74.578,-57.2268
BGKS,72.3811,-55.5366
BGL,28.2128,83.6663
BGLL,71.2419,-53.5629
BGM,42.2087,-75.9798
BGN,68.5566,146.232
BGNK,68.2364,-52.8521
BGNQ,71.5388,-53.205
BGNT,70.7894,-53.6629
BGNU,74.1099,-57.065
BGO,60.2934,5.21814
BGQT,60.781,-47.1562
BGR,44.8074,-68.8281
BGSG,65.9059,-36.3783
BGSI,77.7865,-70.6387
BGSQ,70.0114,-51.9321
BGST,70.8112,-51.6313
BGSV,76.0186,-65.1177
BGTA,73.3731,-56.0603
BGTN,65.892,-37.7834
BGTQ,60.1943,-44.8134
BGUT,71.0494,-51.89
BGW,33.2625,44.2346
BGX,-31.3905,-54.1122
BGY,45.6739,9.70417
BGZ,41.5871,-8.44514
BHB,44.45,-68.3615
BHD,54.6181,-5.8725
BHE,-41.5183,173.87
BHG,15.7631,-84.5436
BHH,19.9844,42.6209
BHI,-38.725,-62.1693
BHJ,23.2878,69.6702
BHK,39.775,64.4833
BHM,33.5629,-86.7535
BHN,14.782,45.7201
BHO,23.2875,77.3374
BHP,27.1474,87.0508
BHQ,-32.0014,141.472
BHR,27.6781,84.4294
BHS,-33.4094,149.652
BHU,21.7522,72.1852
BHV,29.3481,71.718
BHW,32.0561,72.9484
BHX,52.4539,-1.74803
BHY,21.5394,109.294
BIA,42.5527,9.48373
BIB,3.10222,43.6286
BIBA,63.5561,-20.1375
BID,41.1681,-71.5778
BIF,31.8495,-106.38
BIG,63.9945,-145.722
BIH,37.3731,-118.364
BIK,-1.19002,136.108
BIKL,63.7908,-18.0014
BIL,45.8077,-108.543
BIM,25.6999,-79.2647
BIN,34.817,67.817
BIO,43.3011,-2.91061
BIQ,43.4683,-1.53111
BIR,26.4815,87.264
BIS,46.7727,-100.746
BISF,63.9292,-21.0378
BIU,65.6413,-23.5462
BIX,30.4104,-88.9244
BIY,-32.8971,27.2791
BJA,36.712,5.06992
BJB,37.493,57.3082
BJC,39.9088,-105.117
BJF,70.6005,29.6914
BJH,29.539,81.1854
BJI,47.5094,-94.9337
BJL,13.338,-16.6522
BJM,-3.32402,29.3185
BJO,-22.7733,-64.3129
BJP,-22.9792,-46.5375
BJR,11.6081,37.3216
BJU,29.502,81.669
BJV,37.2506,27.6643
BJW,-8.70743,121.057
BJX,20.9935,-101.481
BJY,44.9353,20.2575
BJZ,38.8913,-6.82133
BKA,55.6172,38.06
BKB,28.0706,73.2072
BKC,65.9816,-161.149
BKD,32.719,-98.891
BKE,44.8373,-117.809
BKG,36.5321,-93.2005
BKH,22.0228,-159.785
BKI,5.93721,116.051
BKK,13.6811,100.747
BKL,41.5175,-81.6833
BKM,3.974,115.618
BKO,12.5335,-7.94994
BKQ,-24.4278,145.429
BKS,-3.8637,102.339
BKW,37.7873,-81.1242
BKY,-2.30898,28.8088
BKZ,-1.332,31.8212
BLA,10.1111,-64.6922
BLB,8.91479,-79.5996
BLE,60.422,15.5152
BLF,37.2958,-81.2077
BLG,2.65,113.767
BLH,33.6192,-114.717
BLI,48.7928,-122.538
BLJ,35.7521,6.30859
BLK,53.7717,-3.02861
BLL,55.7403,9.15178
BLN,-36.5519,146.007
BLQ,44.5354,11.2887
BLR,13.1979,77.7063
BLT,-23.6031,148.807
BLV,38.5452,-89.8352
BLZ,-15.6791,34.974
BMA,59.3544,17.9417
BMB,2.18278,22.4817
BMC,41.5524,-112.062
BMD,-19.6867,44.5419
BME,-17.9447,122.232
BMG,39.146,-86.6167
BMI,40.4771,-88.9159
BMK,53.5964,6.70917
BMM,2.07564,11.4932
BMO,24.269,97.2462
BMP,-20.8033,149.27
BMR,53.7247,7.37333
BMT,30.0707,-94.2158
BMU,-8.53965,118.687
BMV,12.6683,108.12
BMW,21.375,0.923889
BMX,59.3612,-155.259
BMY,-19.7206,163.661
BNA,36.1245,-86.6782
BNB,-0.217,20.85
BNC,0.575,29.4739
BND,27.2183,56.3778
BNE,-27.3842,153.117
BNG,33.9231,-116.851
BNI,6.31698,5.5995
BNJ,50.7689,7.16333
BNK,-28.8339,153.562
BNM,-9.10778,147.667
BNN,65.4611,12.2175
BNO,43.5919,-118.955
BNP,32.9729,70.5279
BNS,8.615,-70.2142
BNU,-26.8306,-49.0903
BNX,44.9414,17.2975
BOA,-5.854,13.064
BOB,-16.4444,-151.751
BOC,9.34085,-82.2508
BOD,44.8283,-0.715556
BOG,4.70159,-74.1469
BOH,50.78,-1.8425
BOI,43.5644,-116.223
BOJ,42.5696,27.5152
BOM,19.0887,72.8679
BON,12.131,-68.2685
BOO,67.2692,14.3653
BOR,47.6556,7.01083
BOS,42.3643,-71.0052
BOU,47.0581,2.37028
BOW,27.9434,-81.7834
BOX,-16.0753,136.302
BOY,11.1601,-4.33097
BPC,6.03924,10.1226
BPE,39.6664,119.059
BPF,-8.56203,158.119
BPG,-15.8613,-52.3889
BPH,8.19595,126.322
BPI,42.5851,-110.111
BPL,44.895,82.3
BPM,17.4531,78.4676
BPN,-1.26827,116.894
BPS,-16.4386,-39.0809
BPT,29.9508,-94.0207
BPX,30.5536,97.1083
BPY,-16.7445,44.4825
BQA,15.7293,121.5
BQB,-33.6884,115.402
BQE,11.2974,-15.8381
BQG,52.38,140.448
BQH,51.3308,0.0325
BQJ,67.648,134.695
BQK,31.2588,-81.4665
BQL,-22.9133,139.9
BQN,18.4949,-67.1294
BQS,50.4254,127.412
BQT,52.1083,23.8981
BQU,12.9884,-61.262
BRA,-12.0789,-45.009
BRC,-41.1512,-71.1575
BRD,46.3983,-94.1381
BRE,53.0475,8.78667
BRI,41.1389,16.7606
BRK,-30.0392,145.952
BRL,40.7832,-91.1255
BRM,10.0427,-69.3586
BRN,46.9141,7.49715
BRO,25.9068,-97.4259
BRQ,49.1513,16.6944
BRR,57.0228,-7.44306
BRS,51.3827,-2.71909
BRT,-11.7692,130.62
BRU,50.9014,4.48444
BRV,53.5069,8.57278
BRW,71.2854,-156.766
BRX,18.2515,-71.1204
BSA,11.2753,49.1494
BSB,-15.8692,-47.9208
BSC,6.20292,-77.3947
BSD,25.0533,99.1683
BSF,19.7601,-155.554
BSG,1.90547,9.80568
BSJ,-37.8875,147.568
BSK,34.7933,5.73823
BSL,47.59,7.52917
BSO,20.4513,121.98
BSR,30.5491,47.6621
BST,31.5597,64.365
BSU,1.22472,19.7889
BSX,16.8152,94.7799
BTC,7.70576,81.6788
BTE,7.53242,-12.5189
BTH,1.12103,104.119
BTI,70.134,-143.582
BTJ,5.52287,95.4206
BTK,56.3706,101.698
BTL,42.3073,-85.2515
BTM,45.9548,-112.497
BTR,30.5332,-91.1496
BTS,48.1702,17.2127
BTT,66.9139,-151.529
BTU,3.12385,113.02
BTV,44.4719,-73.1533
BTW,-3.41241,115.995
BTZ,40.2333,29.0092
BUA,-5.42232,154.673
BUC,-17.7486,139.534
BUD,47.4298,19.2611
BUF,42.9405,-78.7322
BUG,-12.609,13.4037
BUI,-3.6822,138.675
BUJ,35.3325,4.20639
BUL,-7.21629,146.65
BUN,3.81963,-76.9898
BUO,9.5275,45.5549
BUP,30.2701,74.7558
BUQ,-20.0174,28.6179
BUR,34.2007,-118.359
BUS,41.6103,41.5997
BUT,27.5622,90.7471
BUU,-1.1278,102.135
BUW,-5.48688,122.569
BUX,1.56572,30.2208
BUY,-33.3783,115.677
BUZ,28.9448,50.8346
BVA,49.4544,2.11278
BVB,2.84139,-60.6922
BVC,16.1365,-22.8889
BVE,45.0397,1.48556
BVG,70.8714,29.0342
BVH,-12.6944,-60.0983
BVI,-25.8975,139.348
BVS,-1.63653,-50.4436
BVY,42.5842,-70.9165
BWA,27.5057,83.4163
BWB,-20.8644,115.406
BWE,52.3192,10.5561
BWF,54.1286,-3.2675
BWG,36.9645,-86.4197
BWH,5.46592,100.391
BWI,39.1754,-76.6683
BWK,43.2857,16.6797
BWN,4.9442,114.928
BWO,51.8583,47.7456
BWQ,-29.9739,146.817
BWT,-40.9989,145.731
BWU,-33.9244,150.988
BWW,22.6213,-79.1472
BWX,-8.31015,114.34
BXB,-2.53224,133.439
BXE,14.8473,-12.4683
BXG,-36.7394,144.33
BXH,46.8933,75.005
BXK,33.4204,-112.686
BXN,37.1401,27.6697
BXO,46.9744,8.39694
BXP,52.0008,23.1325
BXR,29.0842,58.45
BXU,8.9515,125.479
BXY,45.622,63.2108
BYC,-21.9609,-63.6517
BYF,49.9715,2.69766
BYH,35.9643,-89.944
BYI,42.5426,-113.772
BYJ,38.0789,-7.9324
BYK,7.7388,-5.07367
BYM,20.3964,-76.6214
BYN,46.1633,100.704
BYO,-21.2473,-56.4525
BYP,-22.6739,119.166
BYQ,3.45572,117.867
BYR,57.2772,11.0001
BYS,35.2805,-116.63
BYT,51.6686,-9.48417
BYU,49.985,11.64
BZA,13.95,-84.6
BZC,-22.771,-41.9629
BZD,-34.6236,143.578
BZE,17.5391,-88.3082
BZG,53.0968,17.9777
BZH,-16.817,28.35
BZI,39.6193,27.926
BZK,53.2142,34.1764
BZL,22.801,90.3012
BZN,45.7775,-111.153
BZO,46.4602,11.3264
BZR,43.3235,3.3539
BZU,2.81835,24.7937
BZV,-4.2517,15.253
BZY,47.8431,27.7772
BZZ,51.75,-1.58362
CAB,-5.59699,12.1884
CAC,-25.0003,-53.5008
CAE,33.9388,-81.1195
CAF,-4.87152,-66.8975
CAG,39.2515,9.05428
CAH,9.17767,105.178
CAI,30.1219,31.4056
CAJ,6.23199,-62.8544
CAK,40.9161,-81.4422
CAL,55.4372,-5.68639
CAM9,49.177,-123.168
CAN,23.3924,113.299
CAP,19.733,-72.1947
CAP5,48.6539,-123.45
CAQ,7.96847,-75.1985
CAQ3,50.6,-127.583
CAR,46.8715,-68.0179
CAT,38.725,-9.35523
CAU,-8.28239,-36.0135
CAV3,51.6425,-121.307
CAW,-21.6983,-41.3017
CAW5,50.7167,-127.483
CAX,54.9375,-2.80917
CAY,4.81981,-52.3604
CAZ,-31.5383,145.794
CBA9,56.275,-124.052
CBB,-17.4211,-66.1771
CBC7,49.2869,-123.106
CBD,9.15251,92.8196
CBE,39.6154,-78.7609
CBF,41.2592,-95.7606
CBF7,48.4181,-123.388
CBG,52.205,0.175
CBH,31.6457,-2.26986
CBJ,17.929,-71.6448
CBL,8.12216,-63.537
CBM,33.6438,-88.4438
CBN,-6.75614,108.54
CBO,7.16524,124.21
CBQ,4.97602,8.3472
CBR,-35.3069,149.195
CBT,-12.4792,13.4869
CBU,51.8894,14.5319
CBV,15.469,-90.4067
CCA,-16.9768,-65.1456
CCB,34.1116,-117.688
CCC,22.461,-78.3284
CCF,43.216,2.30632
CCH,-46.5833,-71.6874
CCH4,52.765,-56.1156
CCI,-27.1806,-52.0527
CCJ,11.1368,75.9553
CCK,-12.1883,96.8339
CCL,-26.775,150.617
CCM,-28.7244,-49.4214
CCN,34.533,65.267
CCP,-36.7727,-73.0631
CCR,37.9897,-122.057
CCS,10.6012,-66.9912
CCU,22.6547,88.4467
CCV,-16.265,167.924
CCW3,45.0519,-64.6517
CCX,-16.0436,-57.6299
CCY,43.0726,-92.6108
CCZ,25.4171,-77.8809
CCZ3,48.2747,-53.9239
CDA,-12.9033,132.532
CDB,55.2061,-162.725
CDC,37.701,-113.099
CDE,41.1225,118.074
CDG,49.0128,2.55
CDG2,44.6161,-65.7619
CDJ,-8.34835,-49.3015
CDN,34.2836,-80.5649
CDP,14.51,78.7728
CDR,42.8376,-103.095
CDS,34.4338,-100.288
CDT,40.2139,0.073333
CDU,-34.0403,150.687
CDV,60.4918,-145.478
CDW,40.8752,-74.2814
CEB,10.3075,123.979
CEC,41.7802,-124.237
CED,-32.1306,133.71
CEE,59.2736,38.0158
CEF,42.194,-72.5348
CEG,53.1781,-2.97778
CEG4,51.4964,-112.749
CEI,19.9523,99.8829
CEJ,51.4022,31.1583
CEK,55.3058,61.5033
CEM,65.5738,-144.783
CEN,27.3926,-109.833
CEQ,43.542,6.95348
CER,49.6501,-1.47028
CES,-32.7875,151.342
CET,47.0821,-0.877064
CEU,34.6719,-82.8865
CEW,30.7788,-86.5221
CEW9,51.0778,-115.338
CEZ,37.303,-108.628
CEZ5,60.6911,-135.037
CFB,-22.9217,-42.0743
CFC,-26.7884,-50.9398
CFD,30.7157,-96.3314
CFE,45.7867,3.16917
CFG,22.15,-80.4142
CFK,36.2127,1.33177
CFN,55.0442,-8.341
CFO,-10.6344,-51.5636
CFR,49.1733,-0.45
CFS,-30.3206,153.116
CFU,39.6019,19.9117
CFV,37.094,-95.5719
CGB,-15.6529,-56.1167
CGD,28.9189,111.64
CGF,41.5651,-81.4864
CGH,-23.6261,-46.6564
CGI,37.2253,-89.5708
CGJ,-12.5728,27.8939
CGK,-6.12557,106.656
CGM,9.25352,124.707
CGN,50.8659,7.14274
CGO,34.5197,113.841
CGP,22.2496,91.8133
CGQ,43.9962,125.685
CGR,-20.4687,-54.6725
CGX,41.8588,-87.6079
CGY,8.6122,124.456
CGZ,32.9549,-111.767
CHA,35.0353,-85.2038
CHC,-43.4894,172.532
CHF,35.1402,128.696
CHG,41.5381,120.435
CHH,-6.20181,-77.8561
CHM,-9.14961,-78.5238
CHN,35.8781,127.119
CHO,38.1386,-78.4529
CHQ,35.5317,24.1497
CHR,46.8603,1.72111
CHS,32.8986,-80.0405
CHT,-43.81,-176.457
CHU,61.5791,-159.216
CHX,9.45896,-82.5151
CHY,-6.71194,156.396
CIA,41.7994,12.5949
CIC,39.7954,-121.858
CID,41.8847,-91.7108
CIF,42.235,118.908
CIH,36.2475,113.126
CIJ,-11.0404,-68.783
CIK,66.645,-143.74
CIO,-23.4424,-57.4273
CIP,-13.5583,32.5872
CIS,-2.76812,-171.71
CIT,42.3642,69.4789
CIU,46.2508,-84.4724
CIW,12.699,-61.3424
CIX,-6.78748,-79.8281
CIY,36.9946,14.6072
CIZ,-4.13406,-63.1326
CJA,-7.13918,-78.4894
CJB,11.03,77.0434
